feature,rf_importance,gb_importance,avg_importance
koi_model_snr,0.12389205540159139,0.4522636792960839,0.28807786734883767
koi_duration,0.04519739038914592,0.04812763285207695,0.046662511620611434
koi_duration_err1,0.06381129938375889,0.025423279464199047,0.04461728942397897
koi_duration_err2,0.05986135640934804,0.018466033834970214,0.03916369512215913
koi_impact,0.029421297619225534,0.042889757317879,0.036155527468552266
koi_steff_err1,0.03464509022756372,0.02690730567928554,0.03077619795342463
koi_prad,0.028951551697390453,0.028176017597331827,0.02856378464736114
koi_tce_delivnameq1_q17_dr25_tce,0.013612324894575588,0.04151176574857075,0.02756204532157317
koi_prad_err1,0.02316798584427606,0.028893138500719253,0.026030562172497655
koi_steff_err2,0.02935438320320277,0.021182541072557955,0.025268462137880362
koi_period,0.02139811955332661,0.028266863586492094,0.024832491569909354
koi_time0bk_err2,0.044776424990622364,0.0034969266722480576,0.024136675831435212
koi_time0bk_err1,0.0447882902898226,0.00282910083743212,0.023808695563627358
koi_depth_err1,0.02461962112377564,0.017473948533747483,0.021046784828761562
koi_depth_err2,0.025772185877120005,0.015689123596050996,0.020730654736585502
koi_depth,0.024471594555606786,0.01196515734265093,0.018218375949128857
koi_prad_err2,0.019779941339317878,0.016460648731387136,0.018120295035352507
ra,0.019909604648743806,0.015017850860806082,0.017463727754774942
koi_srad_err1,0.022135105372232133,0.010532269625304656,0.016333687498768394
dec,0.017930548097185296,0.014524755322141846,0.01622765170966357
koi_time0bk,0.019416295222546297,0.012350246639061323,0.01588327093080381
koi_kepmag,0.017744901551177684,0.014015502698237077,0.01588020212470738
koi_impact_err2,0.018336049090336197,0.010669055430740707,0.014502552260538452
koi_srad_err2,0.014916214641224427,0.013142933599632527,0.014029574120428476
koi_impact_err1,0.019285205017424634,0.008357634781316275,0.013821419899370455
koi_period_err2,0.02287146717090843,0.0029723682088166215,0.012921917689862526
koi_srad,0.014814852024786676,0.010731304454204362,0.012773078239495519
koi_steff,0.016224144855202266,0.007985622316529595,0.01210488358586593
koi_period_err1,0.02173673296164563,0.002296615040434647,0.012016674001040138
koi_slogg_err2,0.019151527659068922,0.004760507006039773,0.011956017332554348
koi_insol_err1,0.01593404805833904,0.00727259824954034,0.01160332315393969
koi_tce_plnt_num,0.0058087272110469105,0.014396931215458859,0.010102829213252885
koi_slogg_err1,0.014785419142835375,0.005162581305891761,0.009974000224363568
koi_slogg,0.015257305058915795,0.0037712444794251246,0.00951427476917046
koi_insol,0.014190219929262199,0.004497606616700502,0.00934391327298135
koi_insol_err2,0.014160198906317567,0.0032774426679687877,0.008718820787143177
koi_teq,0.014316582491516464,0.0016134653085209912,0.007965023900018728
koi_tce_delivnameq1_q16_tce,0.0021396206742655076,1.1063302401307257e-07,0.0010698656536447604
koi_fpflag_nt,0.00041339304671661963,0.0016560635219530148,0.0010347282843348171
koi_fpflag_co,0.00023488587640641757,0.0009018695898612532,0.0005683777331338353
koi_tce_delivnameq1_q17_dr24_tce,0.0005201490922428408,0.0,0.0002600745461214204
koi_fpflag_ss,0.00021441819390016022,7.049976470649683e-05,0.00014245897930332852
koi_fpflag_ec,3.147120608255488e-05,0.0,1.573560304127744e-05
